GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cover-agent,com.davidparry.cover,User,12,0,0,0,5,0,2,0,2,0
cover-agent,com.davidparry.cover,SimpleMathOperations,34,11,4,0,7,3,5,3,3,3
